,sentiment,text
108,0,i have been switching between al jazeera sky news bbc and cnn and frankly i am worried italy is in a terrible state hmmm we cannot afford to get to that point i pray we do not averagely that is what we do pray
109,0,anthony causi beloved post sports photographer dies of coronavirus at 48 via
110,0,covid 19 spread can be stopped only through the formula of social distancing without that the stage 3 of the virus is not much distant away from the india society _distancing
111,0,"saying ""panic is not necessary"" is not helpful anytime anyone has told me to stop panic it just got worse"
112,0,worried about do not just wash your hands – urge congress to pass a key prevention tool and commonsense protection all workers need even when we are not facing a pandemic
113,0,i do not think the coronavirus realizes who it is messing with pic twitter com/llvkv4ne98
114,0,messaging has been disgraceful of course it would help if people actually used their brain instead of walking around totally clueless
115,0,most of the private hospital are charging 300 to 3500 per day for corona patients in mumbai and most of the the hospital dont have sufficient bed wt will happen with the peoples below poverty line
116,0,coronavirus is screwed
117,0,society does not care about me just because my face sucks and i have no control over it that is some bullshit and society is too shallow to even admit it at least corona virus is giving normies their just desserts
118,0,here are some tips to preventing yourself from getting corona virus wash your damn hands shower and overall have hygiene it is not hard people
119,0,immigration judges (naij) eoir has ordered immigration court staff to remove cdc posters designed to slow spread of coronavirus no this is not a parody account
120,0,i know if anything it is a cold people do not realize it is also spring with allergies not corona virus i'm not letting them poke me with nothing regardless they may just be injecting you with something jmo
121,1,taher shah's new song is out it will end corona virus in the world now
122,0,nhs scotland shame on you we have a confirmed death due to the coronavirus in the highlands and are being refused information about where the individual was from allowing people the facts to enable informed decisions is only fair treat this as an foi
123,0,i rlly got to move out of college bc of coronavirus this shits crazyyy
124,0,"death toll in italy surpasses 7 500"" over 400 patients 100 people recovered 200 dead globally"
125,0,serious question for all who think this whole thing is overreaction and hysteria do you actually believe nearly every nation on earth would shut down their entire economies over a “cold” or is it possible this is worse than they are telling us to prevent panic
126,0,do not know who this guy is but he has a great point kween hillary would be handling this crisis like a champ if she were president she did such a great job managing bill in the oval office we would really be going places if she was in charge sad
127,0,capitalism (and the greed it breeds) is probably going to make the spread of even worse in the us
128,0,this pc is a joke on those people who are suffering from _19india …
129,0,hm this corona virus is getting serious chale @ dansoman
130,0,just in public areas of buildings owned by in and around temple square in downtown slc have been closed until further notice due to concerns over the novel
131,0,you know who will be unaffected by the coronavirus the most deplorable of deplorables they will not get sick
132,0,“hahaha look everyone he shit himself ” nonono i swear i have coronavirus
133,0,stigmabase — hong kong protesters have promised a 'miracle' but china's national security law seems after a months long break due to the coronavirus pandemic sunday's march was the first opportunity many hong kongers had to view article
134,0,is the making you afraid of what the future holds looking for a sense of peace call 877 whyislam you deserve to know
135,0,do not underestimate the coronavirus i repeat do not underestimate the coronavirus it has evolved to not only infect animals but also humans dont think it is dangerous cause it cannot kill you yet if we do not stop it covid 19 will continue to evolve to potentially become deadly
136,0,wall street roared back to life on tuesday rebounding from the brink of bear market confirmation as bargain hunting and hopes of government stimulus calmed investors' fears surrounding the and growing signs of imminent recession
137,0,the christian right and are the biggest threat to the world right now during this pandemic they outright evil their ignorance is death incarnate
138,0,dude on the train dressed like kakashi telling me “it's coronavirus safety not cosplay” he better kamui that mf then cuz his nike mask not doing shit
139,0,let me tell you all this is the only trick of china to defeat america because they cannot come to the fore and fight america so they resorted to this corona virus and the whole world is suffering
140,1,my dearest mate it is been a real pleasure to have u i've not seen u personally but you are 1of those human beings who has a virtual presence in theloyalty i really love you respect you trust you be safe & if possible plz keep me posted regarding ur status pic twitter com/go071yuet0
141,0,really feeling bad is this the arrangements for unlock 1 really as we are having more than 3300 cases in the sole indore then too then arrangement are like this really feel bad /d5dvnyakjc
142,0,"coronavirus captain smith and pocahontas had a very mad affair when her daddy tried to kill him she said ""daddy oh do not you dare"" he gives me fever with his kisses fever when he holds me tight fever i'm his missus so daddy will not you treat him right"
143,0,covid19 kills another event as dolpa43 becomes 100% online
144,0,the world today is just like 2000 we were warned about the millennium bug a potential technological problem what did people panic buy condoms coronavirus now panic buying loo roll think with our genitals for 2000 think out of arse today
145,0,i know govt is trying to get the economy back on track&minimize d loss but that does not mean you give instructions to resume the train & flight bookings lockdown must increase to safeguard the lives of people life comes before money
146,1,i hope you are all doing good in your quarantine stay home stay safe not only from but also be aware of the dangers of so use mortein products and say
147,0,this is our so called muslim society where a muslim women officer harassed by these shitts mard enko lagta hai ye musilman hai jummah par kr aye hai musilman hai no mein enko musilman ni janta touch her they abused her physical ridiculous __19
148,1,_board you & tejaswini both are doing a commendable job with special focus on board segment children though we got to know about you only during the lockdown have recommended your youtube video clips to many please continue with the good work & all the best
149,0,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der past & presnt charactr dey considr demslves superior to rst r careless fr _19india undr ugly thinktheory
150,0,probably going to take a mass shooting for people to shut up about the coronavirus for a few days
151,0,if i were ever faced with the prospect of licking a toilet seat where a thousand strange butts have sat coronavirus would be the last thing on my mind afterward i would hope for a fast acting strain of the disease to finish me off
152,1,due to one set of people some country utilising opportunity and make fun of entire community thing
153,0,so says nothing to worry about with the corona virus & then he works from home pulls his kids out of school & tells all other politicains to go into isolation some fucking leader
154,0,due to and in bowenpally area there are a lot of people's are not having a single rupee to buy a rice and there in need of ration for their homes so please come out and help those people by feeding contact me 7799322774
155,0,rest in peace celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 pic twitter com/u4s0rtwlst
156,1,day raised_hand_light_skin_tone victory_hand_light_skin_tone victory_hand_light_skin_tone globe_showing_Asia-Australia
157,0,all these super fit athletes testing positive for and here's me just lazing about fat as fuck severely unfit asthmatic full of anxiety does not believe in fruit or veg and a drug taking binge drinker what chance have i got come at me
158,0,it will take 25 years to test 20% of the uk population at the rate they are being tested for people are waiting on tests this is unacceptable and dangerous
159,0,fuck u coronavirus i cant hang out with any of my friends now and i have to sit by myself and think key word think thinking is not good cor my health
160,0,pls issue 2 beds for my parents in saket my parents are covid patients they need your help 30% beds r reserved for covid patients i request you to please help us my parents are diabities and hyper tension patients
161,0,the idiot's guide to coronavirus from an emergency physician via
162,0,hey do not email me about the coronavirus worry about my money and that is it you can cut the shit as well
163,0,i think it is time to replenish or add more weapons in my inventory regarding with this corona virus we are facing i will not be left defenseless in my own home if shit were to go down fuck that
164,1,beauty of lockdown days red gulmohar flower carpet at melattur railway station of nilambur shornur railway line today ഒരു പൂമരക്കാറ്റ് പെയ്തപോലെ നിറയെ ചുവന്ന പൂക്കൾ courtesy pattikad railway station and…
165,0,we are lit rally getting low of medication it just crossed my mind where in hell am i going to find the treatment of my grandma with this coronavirus lockdown the prices in the fucking sky also i would better die
166,0,in italy people are getting fined if they leave the house due to coronavirus it is mad
167,0,karyakartas of abvp have been working round the clock to help students stuck during the lockdown so far thousands of northeast students have been helped by abvp this is what hon'ble chief minister of manipur shri ji has to say about abvp's work
168,0,you forgot the third india one that is try their best to spread the last and the most important one forth india those protecting the ones spreading this disease
169,0,an iranian cleric visited hospitals & made patients suffering from coronavirus smell a holy perfume which was handed over to him by the prophet the patient died next day coronavirus pic twitter com/5wdbnsx3ar
170,0,i can see the trolls posting pictures outside making that dumb hand signal when there is a quarantine like fucking ben sh*p*ro ugh it is totally going to happen is not it maga hats getting coronavirus to own the libs
171,0,the protesters in us should not give room to antisocial elements now they take everything in their hands looting both public and private properties and setting fires the main purpose shall be defeated hence stop agitation to save common people already suffering from corona
172,0,coronavirus will expose capitalism like never before via
173,1,lockdown impact 2 grinning_face grinning_face_with_big_eyes
174,0,why are you still open and working are not driver examiners health/safety a concern is getting your licence considered an “essential” during they should get hazard pay no masks or gloves because it is not part of their uniform answers
175,0,2019 2020 taking in easy way bihar is going in past in the last 10 years bcoz of poor governance of
176,0,us coronavirus up coverage until close use could upend can uk closed union cnn unleashes cbs
177,1,is lockdown only for common people of country is violating the lockdown norms by organising the parties and birthday celebrations political activities and social gatherings are ban but is orgainsing joining rallies is this the way to go ahead /bj6wbcx3of
178,1,… covid good news
179,0,exploring my archives | staying home even if it has been hot as hell | kwang pottery jungle
180,1,isolated detainee pn dapat covid this rona will be treated as urti in few months lol …
181,0,corona virus when it falls on the fabricremains 9 hours so washing clothes or being exposed to the sun for two hours meets the purpose of killing it
182,0,the legacy to be kept in family robert's name does not goes down well with electorates corona lock down has been used for launch of new incumbent conveniently has surname gandhi and having crash course to dine with poor and show sympathy for them before he is launched in politics pic twitter com/rczzxjdvxj
183,0,we knew the coronavirus was coming for the economy but a dispute between saudi arabia and russia just sped up the trouble via
184,0,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der past&presnt charactr dey consider demslves superior to rst r careless fr _19india undr ugly think theory
185,0,the is on trying to shed some light on how serious is pic twitter com/68k6gsrvpq
186,0,lockdown panic famine and inequality
187,1,vanga nanbargala ellam onna polam fire brave decision by the gov for opening tasmac clapping_hands_light_skin_tone ellarom corona la sethalum parava illa nu tasmac open pandradhu romba nandri keep doing these great work
188,0,and the irony is no of corona cases in india are still less than my jee rank
189,0,i want to go suriname when covid is over
190,0,thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet&share
191,0,when i asked why has not been sticking around after his last few events to meet with attendees—something that he clearly enjoys while on the trail—his campaign seemed to indicate that it was due to concerns about coronavirus issuing this statement to /kt2rbkjhga
192,0,nobody cares your eu ban made no sense anyway and you probably realised later mexico is about to build a wall of its own to prevent from u s but you will probably find a conniving method to send it their way anyhow anyway thought it was just a flu pic twitter com/z2t9ebowyy
193,0,from where can i get list of recognised testing/collection centres both govt and pvt clinics chandigarh panchkula area
194,0,i'm pretty sure you stomping your feet over words is equally ineffective you are trying to take the blame for assault and put it on the shoulders of those saying the coronavirus is from china that is not effective it is just stupid
195,0,dr pankaj shah aged 65 m d physician expired today at global hospital ahmedabad due to covid 19 r i p sir pic twitter com/kjihg6m9aq
196,0,i'm going insane i cannot leave the house i'm on a starbucks and dunkin ban cannot even go to the gas station infront of my house i'm this close to sneaking out in the middle of the night fuck the coronavirus )
197,0,please must watch this video this is the ground realty in kejri govt in covid 19 situation …
198,0,i'm so sick of this one was making a point one was deliberately trying to scare people gas masks do not even fucking protect against fuck just fuck
199,0,breaking mid american conference tournament to be played without fans due to coronavirus concern story
200,1,we gave won against corona and migrants have become politics now
201,0,corona virus is wwlll
202,0,"""federal reserve slashes interest rates to confront coronavirus pandemic"""
203,0,covid 19 etisalat offers free internet video voice calls for two months …
204,0,when ppl start losing their jobs over the pls remember to direct your anger to the democrat party & their media hacks who orchestrated this whole deal pic twitter com/t5kbbvscoe
205,0,i think girls think i have the coronavirus cuz they keep avoiding me
206,0,it is not because of covid he also suffering from kidney problem
207,1,excellency that will be a good time pass in lockdown
208,1,we all look at the same moon with hope that everything gets better soon peace_symbol …
209,0,very true if we all just maybe he will go back to being just an another annoying twitter troll
210,0,why are they making the coronavirus such a big deal
211,1,great sir ji each & everyone person ia also corona various …
212,1,"very nice initiative by our and other officials we hv to fight against covid19 & we will get victory within 15 days if we follow the directions of our pm sahib & distt officials so 100% ""lockdown"" & if you need any thing there is no problem as admn is providing"
213,0,google bangalore employee tests positive for coronavirus and office park shuts down emails say
214,0,i am a census employee please help me get the word out we are 3 weeks away from hiring 100 000 people to count shelters food vans homeless this will hurt employees the vulnerable and the census count congress and the administration need to act
215,0,miss will be happy for another lockdown
216,0,"celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul ""rest in peace"" …pic twitter com/43e9svyczv"
217,1,jai shri ram ji plz obey lockdown and be fit healthy
218,0,"seriously now turning into an issue of ""personal responsibility"" in the face of incoherent and contradictory govt info we all just do our own thing only degenerate scum could display such malicious indifference"
219,1,mubarak sparkling_heart pray for humanity palms_up_together pray for the world palms_up_together may allah forgive us all may allah protect us all from this pandemic _19 ameen sumameen palms_up_together – at ghouri town phase 5 islamabad
220,0,online ration card service is not working in maharashtra kindly have a look and plz start the service in lockdown it is very difficult to apply for the rc negligence seen in govt work during this lockdown i hope you will start online rc facility
221,0,field trips are getting cancelled and now dance competitions too frickin coronavirus ruined it ahh
222,0,i am not any more concerned about catching the coronavirus in amarillo tx as i am in new york catch me in times square
223,0,the main thing separating our government from that of so many others is democracy and w that accountability we cannot hesitate to hold our government accountable they are elected officials public servants people we trusted w our future and we deserve communication
224,0,the chinese communist party knew about coronavirus at least since november 2019 but instead of warning their own citizens and the world about it they supressed it and arrested anyone who tried to raise the alarm over this until it blew up in their and everyone is faces
225,0,"""what we need is to control the panic ” why this nobel laureate predicts a quicker coronavirus recovery 'we're going to be fine'"
226,0,bollywood singer composer dies of coronavirus at 42 /7frvjr8fik
227,1,now i'm share to my experience today 02155 hbj to hnz train awesome facility to indian railway these are providing to best facility and protection in covid 19 thank you so much – at ganj basoda railway station
228,0,trump you once said in a tweet that obama should go hug up everybody with ebola your time to go and kiss everybody in america with coronavirus is now as you called it the chinese i tell you be careful of what you say because you do not know which one you will have to eat
229,0,locked down here due the corona virus not going out until this thing blows over
230,0,hope they are careful where they go with coronavirus
231,0,i'm just making the most of this crisis by doing cameos i love you all love each other it is freee stay safe check out my cameo profile
232,1,"i m facing issue of ""content not supported on your device"" few days back i have seen sande movie on same device kindly look into matter as during lockdown this is only thing i have"
233,0,pandemia estado de emergencia y limitacion de derechos individuales y civiles un trade off entre seguridad y libertad de coste desconocido de gobernanza centralizada y asunción colectiva (p3)
234,0,jamaica's fin min annouces 7billion contingency bill for spending on health social economic security should conditions necessitate and we have an outbreak in a better position to withstand global shocks
235,0,"if all of these ""essential service"" workers get pushed to the side once this whole coronavirus thing passes they have every right to riot and destroy society by refusing to work"
236,0,what happened in india migrants suffering with lockdown to go home they are paid fully ticket price but not satisfied
237,0,u s intelligence agencies did not mince words throughout january and february they repeatedly warned president donald trump and other top administration officials about the growing danger of the coronavirus and how it could quickly spread around the world
238,0,"celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul ""rest in peace"" twitter com/tk6ehuylvd"
239,0,this coronavirus is really starting to piss me off
240,1,lockdown success
241,0,indians should tweet she was +ve on and she was attending meetings and treated in home why __19
242,0,the fear of the deadly coronavirus on one side and the massive loss of profits on the other side which one are the oilygarchiks chorporate's going to choose let us see
243,0,when india was under lockdown (with cases in thousands) we were worried of corona now when india is unlocking (with lakhs of covid 19 cases) we are not worried in fact we are now ready to fight our invisible enemy we have accepted corona as our liability
244,0,company threatens to sue volunteers who 3d printed valves for coronavirus aid
245,1,i am proud of the way she reacted with courage for amfan and corona reacted is praiseworthy
246,0,meanwhile other youtubers are panicking making there followers panic let us stay calm folks let us talk about coronavirus via
247,0,no concern or leadership for coronavirus testing
248,0,this is the sign of hyper action that leads to hypertension anxiety high blood pressure many lifestyle disorders and mostly ends with cardiac arrest by losing life practice yoga to balance your body emotions mind psyche and actions stay at home fight against coronavirus
249,0,these mother fucker jihadists only happen to be in pashtoon region i do not consider them muslims & those who have trained them are worse animals 3 bloodsheds on the same day that is why we do not fear corona becoz we have worst virus than that
250,0,coronavirus infections in children including covid 19 the pediatric infectious disease journal
251,0,many other then labour need serious help sir wish corona caught me so i can fir too
252,1,feel has brought sense in is good concept but this guy has lied 2 us since 2014 that is d fact v see cannot believe him that is also a fact hope he implements
253,0,poor taxi man help donation charity help money my taxi damage please help registration malikashraf1545 0092335252521what's my family corona virus my children crying hungry no food no milk please help donation thanks malikashraf1545 0092335252521what's
254,0,coronavirus lol the judge should send him a level 4 containment suit and a doula
255,0,i myself had a heart attack in september 18 2019 i'm not overly concerned about the coronavirus i think this is the most over exaggerated bunch of crap in news media history
256,1,agree to disagree first they should carry shit bags+2sets of hand glows+face masks& if dogs sneez/bark they should put dog face mask to dogs all these things its better to send their dogs2 *dog care* corona pendemic leave your dogs in*dogs care*one full year
257,0,not too sure licking the floor gives you probably upset tummy etc however the person sat in the pew next to you snotting and coughing all over you would he typifies the current us thinking
258,0,the national cyber security centre say “opportunistic” are using the outbreak to launch online attacks
259,0,harsh steps are needed to stop the coronavirus experts say
260,0,"""while the government has a responsibility to prevent the spread of misinformation about covid 19 this does not mean silencing those with genuine concerns or criticism of the government's handling of the crisis "" …"
261,0,i wish people would understand that not everyone has the privilege to not go to work when they are sick (when it is not the coronavirus btw) some people cannot just be like “i'm sick i'll stay home today xoxo”
262,1,digital marketing strategies in lockdown
263,0,related ir's been discouraging to hear so many people say they will judge current efforts to prevent coronavirus deaths by irrational criteria (eg if a lot of people do not die that means we did too much to prevent people dying)
264,0,have not seen my sister for 2 months that is enough corona loudly_crying_face loudly_crying_face
265,1,thank you so much ji for this honour and appreciation it gives us more encouragement to work hard _warrior twitter com/nmzr0om2rx
266,0,uncalled for hysteria via
267,0,i'm not afraid of the corona virus i'm afraid of all the people afraid of the corona virus taking all the ass wipe (and lysol) pic twitter com/mooubwknds
268,0,please add dd shillong in your dish also i need it so bad during this lockdown please i'm begging you if you do not add now i'll change my dish tv after the lockdown is over
269,0,i feel no pity on myself thought i acept my condolences for the passing away of ur father mother sister's and brother's do to the inability of ur visionless gvt to provide for them on the covid 19 lockdown
270,0,live on the uk government's failure to act early on in the pandemic has damaged the aviation sector and they are shying away from the realities of future air travel amid covid19 pic twitter com/vt8i6azfpn
271,0,i've figured out how to wipe out the all you need to do is just turn off your tv for the next 72 hours go out and have some fun with family and friends for a couple days then in 3 days turn on you will see what shit their reports are
